hotel,fooditems
kebabsville-sayaji-hotel-tt-nagar,"['tikka', 'kebabs', 'kebab']"
cafe-lazymojo-malviya-nagar,"['sandwich', 'chicken wings', 'salad', 'chicken masala', 'paneer', 'coffeee', 'cake', 'cookie', 'chicken roll', 'pasta', 'chicken', 'pizzas', 'fish', 'chicken risotto']"
cafe-bhonsle-panaji,"['fish curry', 'fish']"
shubavsar-banjara-hills,"['tikka', 'paneer', 'biryani']"
kfc-vastrapur,"['chicken', 'chicken pie']"
phat-town-six-mile,"['chicken', 'sandwich', 'chicken sandwich']"
brewberrys-the-coffee-bar-panchwati,['coffeee']
white-pepper-velachery,"['chutney', 'momos']"
sodabottleopenerwala-jubilee-hills,"['mutton', 'onion pakoda', 'cutlet', 'pudding', 'biryani', 'haleem']"
barbeque-nation-gurukul,"['tikka', 'mutton', 'salad', 'fish', 'shrimps', 'pasta', 'cake', 'chicken']"
the-grill-pathardi-phata,['pizzas']
rain-forest-adyar,"['chicken', 'chicken lollipop']"
